Frequency [Hz],AA transfer function,AI transfer function,
1.000000e+00,0.9999979751268429-0.0002201378762272j,0.9999979751268429-0.0002201378762272j,
1.011591e+00,0.9999979745467926-0.0002226895190152j,0.9999979745467926-0.0002226895190152j,
1.023317e+00,0.9999979739532177-0.0002252707381797j,0.9999979739532177-0.0002252707381797j,
1.035178e+00,0.9999979733458028-0.0002278818765437j,0.9999979733458028-0.0002278818765437j,
1.047177e+00,0.9999979727242244-0.0002305232809040j,0.9999979727242244-0.0002305232809040j,
1.059315e+00,0.9999979720881537-0.0002331953020771j,0.9999979720881537-0.0002331953020771j,
1.071593e+00,0.9999979714372518-0.0002358982949459j,0.9999979714372518-0.0002358982949459j,
1.084014e+00,0.9999979707711729-0.0002386326185067j,0.9999979707711729-0.0002386326185067j,
1.096579e+00,0.9999979700895635-0.0002413986359171j,0.9999979700895635-0.0002413986359171j,
1.109290e+00,0.9999979693920608-0.0002441967145438j,0.9999979693920608-0.0002441967145438j,
1.122148e+00,0.9999979686782952-0.0002470272260120j,0.9999979686782952-0.0002470272260120j,
1.135155e+00,0.9999979679478870-0.0002498905462544j,0.9999979679478870-0.0002498905462544j,
1.148312e+00,0.9999979672004483-0.0002527870555611j,0.9999979672004483-0.0002527870555611j,
1.161623e+00,0.9999979664355816-0.0002557171386302j,0.9999979664355816-0.0002557171386302j,
1.175087e+00,0.9999979656528806-0.0002586811846187j,0.9999979656528806-0.0002586811846187j,
1.188708e+00,0.9999979648519309-0.0002616795871948j,0.9999979648519309-0.0002616795871948j,
1.202486e+00,0.9999979640323043-0.0002647127445893j,0.9999979640323043-0.0002647127445893j,
1.216424e+00,0.9999979631935676-0.0002677810596492j,0.9999979631935676-0.0002677810596492j,
1.230524e+00,0.9999979623352745-0.0002708849398909j,0.9999979623352745-0.0002708849398909j,
1.244787e+00,0.9999979614569683-0.0002740247975542j,0.9999979614569683-0.0002740247975542j,
1.259216e+00,0.9999979605581834-0.0002772010496575j,0.9999979605581834-0.0002772010496575j,
1.273811e+00,0.9999979596384421-0.0002804141180526j,0.9999979596384421-0.0002804141180526j,
1.288576e+00,0.9999979586972556-0.0002836644294812j,0.9999979586972556-0.0002836644294812j,
1.303512e+00,0.9999979577341233-0.0002869524156315j,0.9999979577341233-0.0002869524156315j,
1.318621e+00,0.9999979567485348-0.0002902785131952j,0.9999979567485348-0.0002902785131952j,
1.333906e+00,0.9999979557399653-0.0002936431639259j,0.9999979557399653-0.0002936431639259j,
1.349367e+00,0.9999979547078793-0.0002970468146975j,0.9999979547078793-0.0002970468146975j,
1.365008e+00,0.9999979536517288-0.0003004899175639j,0.9999979536517288-0.0003004899175639j,
1.380830e+00,0.9999979525709525-0.0003039729298186j,0.9999979525709525-0.0003039729298186j,
1.396835e+00,0.9999979514649763-0.0003074963140556j,0.9999979514649763-0.0003074963140556j,
1.413026e+00,0.9999979503332120-0.0003110605382310j,0.9999979503332120-0.0003110605382310j,
1.429405e+00,0.9999979491750592-0.0003146660757249j,0.9999979491750592-0.0003146660757249j,
1.445973e+00,0.9999979479899026-0.0003183134054046j,0.9999979479899026-0.0003183134054046j,
1.462733e+00,0.9999979467771115-0.0003220030116878j,0.9999979467771115-0.0003220030116878j,
1.479688e+00,0.9999979455360427-0.0003257353846072j,0.9999979455360427-0.0003257353846072j,
1.496839e+00,0.9999979442660359-0.0003295110198756j,0.9999979442660359-0.0003295110198756j,
1.514189e+00,0.9999979429664178-0.0003333304189515j,0.9999979429664178-0.0003333304189515j,
1.531740e+00,0.9999979416364962-0.0003371940891060j,0.9999979416364962-0.0003371940891060j,
1.549495e+00,0.9999979402755658-0.0003411025434900j,0.9999979402755658-0.0003411025434900j,
1.567455e+00,0.9999979388829031-0.0003450563012023j,0.9999979388829031-0.0003450563012023j,
1.585624e+00,0.9999979374577688-0.0003490558873587j,0.9999979374577688-0.0003490558873587j,
1.604003e+00,0.9999979359994043-0.0003531018331616j,0.9999979359994043-0.0003531018331616j,
1.622595e+00,0.9999979345070363-0.0003571946759708j,0.9999979345070363-0.0003571946759708j,
1.641403e+00,0.9999979329798709-0.0003613349593745j,0.9999979329798709-0.0003613349593745j,
1.660429e+00,0.9999979314170977-0.0003655232332617j,0.9999979314170977-0.0003655232332617j,
1.679675e+00,0.9999979298178858-0.0003697600538954j,0.9999979298178858-0.0003697600538954j,
1.699144e+00,0.9999979281813859-0.0003740459839860j,0.9999979281813859-0.0003740459839860j,
1.718839e+00,0.9999979265067283-0.0003783815927666j,0.9999979265067283-0.0003783815927666j,
1.738762e+00,0.9999979247930235-0.0003827674560682j,0.9999979247930235-0.0003827674560682j,
1.758917e+00,0.9999979230393609-0.0003872041563964j,0.9999979230393609-0.0003872041563964j,
1.779304e+00,0.9999979212448086-0.0003916922830086j,0.9999979212448086-0.0003916922830086j,
1.799929e+00,0.9999979194084138-0.0003962324319923j,0.9999979194084138-0.0003962324319923j,
1.820792e+00,0.9999979175292005-0.0004008252063445j,0.9999979175292005-0.0004008252063445j,
1.841897e+00,0.9999979156061704-0.0004054712160514j,0.9999979156061704-0.0004054712160514j,
1.863246e+00,0.9999979136383020-0.0004101710781697j,0.9999979136383020-0.0004101710781697j,
1.884843e+00,0.9999979116245497-0.0004149254169084j,0.9999979116245497-0.0004149254169084j,
1.906691e+00,0.9999979095638429-0.0004197348637119j,0.9999979095638429-0.0004197348637119j,
1.928792e+00,0.9999979074550878-0.0004246000573436j,0.9999979074550878-0.0004246000573436j,
1.951148e+00,0.9999979052971639-0.0004295216439708j,0.9999979052971639-0.0004295216439708j,
1.973764e+00,0.9999979030889247-0.0004345002772509j,0.9999979030889247-0.0004345002772509j,
1.996642e+00,0.9999979008291969-0.0004395366184176j,0.9999979008291969-0.0004395366184176j,
2.019786e+00,0.9999978985167798-0.0004446313363690j,0.9999978985167798-0.0004446313363690j,
2.043197e+00,0.9999978961504450-0.0004497851077568j,0.9999978961504450-0.0004497851077568j,
2.066880e+00,0.9999978937289357-0.0004549986170755j,0.9999978937289357-0.0004549986170755j,
2.090838e+00,0.9999978912509645-0.0004602725567538j,0.9999978912509645-0.0004602725567538j,
2.115073e+00,0.9999978887152161-0.0004656076272462j,0.9999978887152161-0.0004656076272462j,
2.139589e+00,0.9999978861203429-0.0004710045371266j,0.9999978861203429-0.0004710045371266j,
2.164389e+00,0.9999978834649655-0.0004764640031817j,0.9999978834649655-0.0004764640031817j,
2.189477e+00,0.9999978807476742-0.0004819867505068j,0.9999978807476742-0.0004819867505068j,
2.214855e+00,0.9999978779670244-0.0004875735126015j,0.9999978779670244-0.0004875735126015j,
2.240528e+00,0.9999978751215397-0.0004932250314679j,0.9999978751215397-0.0004932250314679j,
2.266498e+00,0.9999978722097080-0.0004989420577084j,0.9999978722097080-0.0004989420577084j,
2.292769e+00,0.9999978692299824-0.0005047253506257j,0.9999978692299824-0.0005047253506257j,
2.319345e+00,0.9999978661807799-0.0005105756783239j,0.9999978661807799-0.0005105756783239j,
2.346229e+00,0.9999978630604804-0.0005164938178100j,0.9999978630604804-0.0005164938178100j,
2.373424e+00,0.9999978598674262-0.0005224805550974j,0.9999978598674262-0.0005224805550974j,
2.400935e+00,0.9999978565999205-0.0005285366853103j,0.9999978565999205-0.0005285366853103j,
2.428764e+00,0.9999978532562286-0.0005346630127893j,0.9999978532562286-0.0005346630127893j,
2.456916e+00,0.9999978498345727-0.0005408603511982j,0.9999978498345727-0.0005408603511982j,
2.485395e+00,0.9999978463331357-0.0005471295236318j,0.9999978463331357-0.0005471295236318j,
2.514203e+00,0.9999978427500572-0.0005534713627257j,0.9999978427500572-0.0005534713627257j,
2.543346e+00,0.9999978390834333-0.0005598867107667j,0.9999978390834333-0.0005598867107667j,
2.572826e+00,0.9999978353313158-0.0005663764198043j,0.9999978353313158-0.0005663764198043j,
2.602648e+00,0.9999978314917126-0.0005729413517645j,0.9999978314917126-0.0005729413517645j,
2.632815e+00,0.9999978275625829-0.0005795823785637j,0.9999978275625829-0.0005795823785637j,
2.663333e+00,0.9999978235418389-0.0005863003822250j,0.9999978235418389-0.0005863003822250j,
2.694204e+00,0.9999978194273454-0.0005930962549949j,0.9999978194273454-0.0005930962549949j,
2.725433e+00,0.9999978152169160-0.0005999708994621j,0.9999978152169160-0.0005999708994621j,
2.757023e+00,0.9999978109083133-0.0006069252286773j,0.9999978109083133-0.0006069252286773j,
2.788980e+00,0.9999978064992490-0.0006139601662743j,0.9999978064992490-0.0006139601662743j,
2.821308e+00,0.9999978019873806-0.0006210766465929j,0.9999978019873806-0.0006210766465929j,
2.854010e+00,0.9999977973703104-0.0006282756148029j,0.9999977973703104-0.0006282756148029j,
2.887091e+00,0.9999977926455865-0.0006355580270297j,0.9999977926455865-0.0006355580270297j,
2.920556e+00,0.9999977878106979-0.0006429248504810j,0.9999977878106979-0.0006429248504810j,
2.954408e+00,0.9999977828630764-0.0006503770635758j,0.9999977828630764-0.0006503770635758j,
2.988653e+00,0.9999977778000930-0.0006579156560738j,0.9999977778000930-0.0006579156560738j,
3.023295e+00,0.9999977726190583-0.0006655416292070j,0.9999977726190583-0.0006655416292070j,
3.058338e+00,0.9999977673172199-0.0006732559958130j,0.9999977673172199-0.0006732559958130j,
3.093788e+00,0.9999977618917602-0.0006810597804691j,0.9999977618917602-0.0006810597804691j,
3.129648e+00,0.9999977563397979-0.0006889540196286j,0.9999977563397979-0.0006889540196286j,
3.165924e+00,0.9999977506583826-0.0006969397617584j,0.9999977506583826-0.0006969397617584j,
3.202621e+00,0.9999977448444960-0.0007050180674781j,0.9999977448444960-0.0007050180674781j,
3.239743e+00,0.9999977388950495-0.0007131900097013j,0.9999977388950495-0.0007131900097013j,
3.277295e+00,0.9999977328068828-0.0007214566737775j,0.9999977328068828-0.0007214566737775j,
3.315282e+00,0.9999977265767601-0.0007298191576368j,0.9999977265767601-0.0007298191576368j,
3.353710e+00,0.9999977202013728-0.0007382785719354j,0.9999977202013728-0.0007382785719354j,
3.392583e+00,0.9999977136773333-0.0007468360402030j,0.9999977136773333-0.0007468360402030j,
3.431907e+00,0.9999977070011751-0.0007554926989925j,0.9999977070011751-0.0007554926989925j,
3.471687e+00,0.9999977001693521-0.0007642496980304j,0.9999977001693521-0.0007642496980304j,
3.511928e+00,0.9999976931782341-0.0007731082003700j,0.9999976931782341-0.0007731082003700j,
3.552635e+00,0.9999976860241078-0.0007820693825453j,0.9999976860241078-0.0007820693825453j,
3.593814e+00,0.9999976787031711-0.0007911344347277j,0.9999976787031711-0.0007911344347277j,
3.635470e+00,0.9999976712115356-0.0008003045608841j,0.9999976712115356-0.0008003045608841j,
3.677609e+00,0.9999976635452208-0.0008095809789364j,0.9999976635452208-0.0008095809789364j,
3.720237e+00,0.9999976557001532-0.0008189649209236j,0.9999976557001532-0.0008189649209236j,
3.763358e+00,0.9999976476721660-0.0008284576331654j,0.9999976476721660-0.0008284576331654j,
3.806980e+00,0.9999976394569934-0.0008380603764275j,0.9999976394569934-0.0008380603764275j,
3.851107e+00,0.9999976310502715-0.0008477744260892j,0.9999976310502715-0.0008477744260892j,
3.895746e+00,0.9999976224475334-0.0008576010723129j,0.9999976224475334-0.0008576010723129j,
3.940902e+00,0.9999976136442087-0.0008675416202152j,0.9999976136442087-0.0008675416202152j,
3.986581e+00,0.9999976046356210-0.0008775973900404j,0.9999976046356210-0.0008775973900404j,
4.032790e+00,0.9999975954169836-0.0008877697173358j,0.9999975954169836-0.0008877697173358j,
4.079535e+00,0.9999975859833992-0.0008980599531292j,0.9999975859833992-0.0008980599531292j,
4.126821e+00,0.9999975763298562-0.0009084694641080j,0.9999975763298562-0.0009084694641080j,
4.174655e+00,0.9999975664512251-0.0009189996328010j,0.9999975664512251-0.0009189996328010j,
4.223044e+00,0.9999975563422583-0.0009296518577619j,0.9999975563422583-0.0009296518577619j,
4.271994e+00,0.9999975459975854-0.0009404275537551j,0.9999975459975854-0.0009404275537551j,
4.321511e+00,0.9999975354117095-0.0009513281519438j,0.9999975354117095-0.0009513281519438j,
4.371602e+00,0.9999975245790078-0.0009623551000793j,0.9999975245790078-0.0009623551000793j,
4.422274e+00,0.9999975134937249-0.0009735098626945j,0.9999975134937249-0.0009735098626945j,
4.473533e+00,0.9999975021499704-0.0009847939212970j,0.9999975021499704-0.0009847939212970j,
4.525386e+00,0.9999974905417185-0.0009962087745673j,0.9999974905417185-0.0009962087745673j,
4.577841e+00,0.9999974786628019-0.0010077559385565j,0.9999974786628019-0.0010077559385565j,
4.630903e+00,0.9999974665069099-0.0010194369468888j,0.9999974665069099-0.0010194369468888j,
4.684580e+00,0.9999974540675840-0.0010312533509642j,0.9999974540675840-0.0010312533509642j,
4.738880e+00,0.9999974413382153-0.0010432067201653j,0.9999974413382153-0.0010432067201653j,
4.793808e+00,0.9999974283120417-0.0010552986420652j,0.9999974283120417-0.0010552986420652j,
4.849374e+00,0.9999974149821426-0.0010675307226389j,0.9999974149821426-0.0010675307226389j,
4.905584e+00,0.9999974013414357-0.0010799045864758j,0.9999974013414357-0.0010799045864758j,
4.962445e+00,0.9999973873826740-0.0010924218769963j,0.9999973873826740-0.0010924218769963j,
5.019965e+00,0.9999973730984421-0.0011050842566696j,0.9999973730984421-0.0011050842566696j,
5.078152e+00,0.9999973584811506-0.0011178934072342j,0.9999973584811506-0.0011178934072342j,
5.137014e+00,0.9999973435230340-0.0011308510299222j,0.9999973435230340-0.0011308510299222j,
5.196557e+00,0.9999973282161454-0.0011439588456842j,0.9999973282161454-0.0011439588456842j,
5.256791e+00,0.9999973125523526-0.0011572185954186j,0.9999973125523526-0.0011572185954186j,
5.317723e+00,0.9999972965233340-0.0011706320402023j,0.9999972965233340-0.0011706320402023j,
5.379362e+00,0.9999972801205731-0.0011842009615250j,0.9999972801205731-0.0011842009615250j,
5.441714e+00,0.9999972633353564-0.0011979271615254j,0.9999972633353564-0.0011979271615254j,
5.504790e+00,0.9999972461587657-0.0012118124632309j,0.9999972461587657-0.0012118124632309j,
5.568596e+00,0.9999972285816758-0.0012258587107995j,0.9999972285816758-0.0012258587107995j,
5.633143e+00,0.9999972105947484-0.0012400677697648j,0.9999972105947484-0.0012400677697648j,
5.698437e+00,0.9999971921884276-0.0012544415272836j,0.9999971921884276-0.0012544415272836j,
5.764488e+00,0.9999971733529344-0.0012689818923868j,0.9999971733529344-0.0012689818923868j,
5.831305e+00,0.9999971540782622-0.0012836907962328j,0.9999971540782622-0.0012836907962328j,
5.898896e+00,0.9999971343541704-0.0012985701923638j,0.9999971343541704-0.0012985701923638j,
5.967271e+00,0.9999971141701808-0.0013136220569656j,0.9999971141701808-0.0013136220569656j,
6.036439e+00,0.9999970935155694-0.0013288483891297j,0.9999970935155694-0.0013288483891297j,
6.106408e+00,0.9999970723793629-0.0013442512111190j,0.9999970723793629-0.0013442512111190j,
6.177188e+00,0.9999970507503332-0.0013598325686364j,0.9999970507503332-0.0013598325686364j,
6.248788e+00,0.9999970286169884-0.0013755945310962j,0.9999970286169884-0.0013755945310962j,
6.321218e+00,0.9999970059675695-0.0013915391918994j,0.9999970059675695-0.0013915391918994j,
6.394488e+00,0.9999969827900442-0.0014076686687113j,0.9999969827900442-0.0014076686687113j,
6.468608e+00,0.9999969590720982-0.0014239851037428j,0.9999969590720982-0.0014239851037428j,
6.543586e+00,0.9999969348011309-0.0014404906640352j,0.9999969348011309-0.0014404906640352j,
6.619433e+00,0.9999969099642484-0.0014571875417475j,0.9999969099642484-0.0014571875417475j,
6.696160e+00,0.9999968845482540-0.0014740779544480j,0.9999968845482540-0.0014740779544480j,
6.773776e+00,0.9999968585396468-0.0014911641454087j,0.9999968585396468-0.0014911641454087j,
6.852292e+00,0.9999968319246079-0.0015084483839029j,0.9999968319246079-0.0015084483839029j,
6.931717e+00,0.9999968046889968-0.0015259329655068j,0.9999968046889968-0.0015259329655068j,
7.012064e+00,0.9999967768183452-0.0015436202124046j,0.9999967768183452-0.0015436202124046j,
7.093341e+00,0.9999967482978451-0.0015615124736965j,0.9999967482978451-0.0015615124736965j,
7.175561e+00,0.9999967191123449-0.0015796121257107j,0.9999967191123449-0.0015796121257107j,
7.258734e+00,0.9999966892463393-0.0015979215723193j,0.9999966892463393-0.0015979215723193j,
7.342870e+00,0.9999966586839605-0.0016164432452573j,0.9999966586839605-0.0016164432452573j,
7.427982e+00,0.9999966274089722-0.0016351796044456j,0.9999966274089722-0.0016351796044456j,
7.514081e+00,0.9999965954047577-0.0016541331383176j,0.9999965954047577-0.0016541331383176j,
7.601178e+00,0.9999965626543155-0.0016733063641498j,0.9999965626543155-0.0016733063641498j,
7.689284e+00,0.9999965291402447-0.0016927018283960j,0.9999965291402447-0.0016927018283960j,
7.778411e+00,0.9999964948447410-0.0017123221070256j,0.9999964948447410-0.0017123221070256j,
7.868572e+00,0.9999964597495841-0.0017321698058656j,0.9999964597495841-0.0017321698058656j,
7.959777e+00,0.9999964238361280-0.0017522475609465j,0.9999964238361280-0.0017522475609465j,
8.052040e+00,0.9999963870852938-0.0017725580388528j,0.9999963870852938-0.0017725580388528j,
8.145372e+00,0.9999963494775553-0.0017931039370766j,0.9999963494775553-0.0017931039370766j,
8.239786e+00,0.9999963109929345-0.0018138879843763j,0.9999963109929345-0.0018138879843763j,
8.335294e+00,0.9999962716109840-0.0018349129411386j,0.9999962716109840-0.0018349129411386j,
8.431909e+00,0.9999962313107812-0.0018561815997453j,0.9999962313107812-0.0018561815997453j,
8.529644e+00,0.9999961900709161-0.0018776967849442j,0.9999961900709161-0.0018776967849442j,
8.628513e+00,0.9999961478694793-0.0018994613542238j,0.9999961478694793-0.0018994613542238j,
8.728527e+00,0.9999961046840495-0.0019214781981933j,0.9999961046840495-0.0019214781981933j,
8.829700e+00,0.9999960604916835-0.0019437502409662j,0.9999960604916835-0.0019437502409662j,
8.932046e+00,0.9999960152689036-0.0019662804405485j,0.9999960152689036-0.0019662804405485j,
9.035578e+00,0.9999959689916837-0.0019890717892319j,0.9999959689916837-0.0019890717892319j,
9.140311e+00,0.9999959216354382-0.0020121273139906j,0.9999959216354382-0.0020121273139906j,
9.246257e+00,0.9999958731750072-0.0020354500768840j,0.9999958731750072-0.0020354500768840j,
9.353432e+00,0.9999958235846452-0.0020590431754625j,0.9999958235846452-0.0020590431754625j,
9.461848e+00,0.9999957728380067-0.0020829097431797j,0.9999957728380067-0.0020829097431797j,
9.571522e+00,0.9999957209081305-0.0021070529498077j,0.9999957209081305-0.0021070529498077j,
9.682466e+00,0.9999956677674282-0.0021314760018586j,0.9999956677674282-0.0021314760018586j,
9.794697e+00,0.9999956133876673-0.0021561821430102j,0.9999956133876673-0.0021561821430102j,
9.908228e+00,0.9999955577399572-0.0021811746545363j,0.9999955577399572-0.0021811746545363j,
1.002308e+01,0.9999955007947336-0.0022064568557433j,0.9999955007947336-0.0022064568557433j,
1.013925e+01,0.9999954425217424-0.0022320321044099j,0.9999954425217424-0.0022320321044099j,
1.025678e+01,0.9999953828900265-0.0022579037972341j,0.9999953828900265-0.0022579037972341j,
1.037567e+01,0.9999953218679029-0.0022840753702832j,0.9999953218679029-0.0022840753702832j,
1.049593e+01,0.9999952594229536-0.0023105502994511j,0.9999952594229536-0.0023105502994511j,
1.061759e+01,0.9999951955220028-0.0023373321009188j,0.9999951955220028-0.0023373321009188j,
1.074066e+01,0.9999951301311014-0.0023644243316224j,0.9999951301311014-0.0023644243316224j,
1.086516e+01,0.9999950632155088-0.0023918305897245j,0.9999950632155088-0.0023918305897245j,
1.099110e+01,0.9999949947396746-0.0024195545150927j,0.9999949947396746-0.0024195545150927j,
1.111850e+01,0.9999949246672196-0.0024475997897822j,0.9999949246672196-0.0024475997897822j,
1.124737e+01,0.9999948529609164-0.0024759701385257j,0.9999948529609164-0.0024759701385257j,
1.137774e+01,0.9999947795826680-0.0025046693292270j,0.9999947795826680-0.0025046693292270j,
1.150962e+01,0.9999947044934916-0.0025337011734620j,0.9999947044934916-0.0025337011734620j,
1.164303e+01,0.9999946276534941-0.0025630695269846j,0.9999946276534941-0.0025630695269846j,
1.177799e+01,0.9999945490218524-0.0025927782902385j,0.9999945490218524-0.0025927782902385j,
1.191451e+01,0.9999944685567911-0.0026228314088757j,0.9999944685567911-0.0026228314088757j,
1.205261e+01,0.9999943862155616-0.0026532328742796j,0.9999943862155616-0.0026532328742796j,
1.219231e+01,0.9999943019544181-0.0026839867240957j,0.9999943019544181-0.0026839867240957j,
1.233363e+01,0.9999942157285947-0.0027150970427673j,0.9999942157285947-0.0027150970427673j,
1.247660e+01,0.9999941274922822-0.0027465679620782j,0.9999941274922822-0.0027465679620782j,
1.262121e+01,0.9999940371986027-0.0027784036617008j,0.9999940371986027-0.0027784036617008j,
1.276751e+01,0.9999939447995855-0.0028106083697516j,0.9999939447995855-0.0028106083697516j,
1.291550e+01,0.9999938502461418-0.0028431863633524j,0.9999938502461418-0.0028431863633524j,
1.306520e+01,0.9999937534880372-0.0028761419691982j,0.9999937534880372-0.0028761419691982j,
1.321664e+01,0.9999936544738670-0.0029094795641316j,0.9999936544738670-0.0029094795641316j,
1.336984e+01,0.9999935531510277-0.0029432035757242j,0.9999935531510277-0.0029432035757242j,
1.352481e+01,0.9999934494656894-0.0029773184828640j,0.9999934494656894-0.0029773184828640j,
1.368158e+01,0.9999933433627659-0.0030118288163509j,0.9999933433627659-0.0030118288163509j,
1.384016e+01,0.9999932347858885-0.0030467391594973j,0.9999932347858885-0.0030467391594973j,
1.400058e+01,0.9999931236773726-0.0030820541487375j,0.9999931236773726-0.0030820541487375j,
1.416287e+01,0.9999930099781894-0.0031177784742426j,0.9999930099781894-0.0031177784742426j,
1.432703e+01,0.9999928936279336-0.0031539168805438j,0.9999928936279336-0.0031539168805438j,
1.449310e+01,0.9999927745647914-0.0031904741671618j,0.9999927745647914-0.0031904741671618j,
1.466109e+01,0.9999926527255076-0.0032274551892445j,0.9999926527255076-0.0032274551892445j,
1.483103e+01,0.9999925280453523-0.0032648648582114j,0.9999925280453523-0.0032648648582114j,
1.500293e+01,0.9999924004580862-0.0033027081424055j,0.9999924004580862-0.0033027081424055j,
1.517683e+01,0.9999922698959259-0.0033409900677533j,0.9999922698959259-0.0033409900677533j,
1.535275e+01,0.9999921362895069-0.0033797157184318j,0.9999921362895069-0.0033797157184318j,
1.553071e+01,0.9999919995678477-0.0034188902375435j,0.9999919995678477-0.0034188902375435j,
1.571072e+01,0.9999918596583121-0.0034585188277996j,0.9999918596583121-0.0034585188277996j,
1.589283e+01,0.9999917164865696-0.0034986067522099j,0.9999917164865696-0.0034986067522099j,
1.607704e+01,0.9999915699765577-0.0035391593347825j,0.9999915699765577-0.0035391593347825j,
1.626340e+01,0.9999914200504380-0.0035801819612298j,0.9999914200504380-0.0035801819612298j,
1.645191e+01,0.9999912666285602-0.0036216800796840j,0.9999912666285602-0.0036216800796840j,
1.664260e+01,0.9999911096294153-0.0036636592014203j,0.9999911096294153-0.0036636592014203j,
1.683551e+01,0.9999909489695936-0.0037061249015882j,0.9999909489695936-0.0037061249015882j,
1.703065e+01,0.9999907845637407-0.0037490828199520j,0.9999907845637407-0.0037490828199520j,
1.722805e+01,0.9999906163245132-0.0037925386616394j,0.9999906163245132-0.0037925386616394j,
1.742775e+01,0.9999904441625291-0.0038364981978988j,0.9999904441625291-0.0038364981978988j,
1.762975e+01,0.9999902679863247-0.0038809672668656j,0.9999902679863247-0.0038809672668656j,
